1_Portfolio_identifying_data,2_Type_of_identification_code_for_the_fund_share_or_portfolio,3_Portfolio_name,4_Portfolio_currency_(B),5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency,6_Valuation_date,7_Reporting_date,8_Share_price,8b_Total_number_of_shares,9_Cash_ratio,10_Portfolio_modified_duration,11_Complete_SCR_delivery,12_CIC_code_of_the_instrument,13_Economic_zone_of_the_quotation_place,14_Identification_code_of_the_instrument,15_Type_of_identification_code_for_the_instrument,16_Grouping_code_for_multiple_leg_instruments,17_Instrument_name,17b_Asset_liability,18_Quantity,19_Nominal_amount,20_Contract_size_for_derivatives,21_Quotation_currency_(A),22_Market_valuation_in_quotation_currency_(A),23_Clean_market_valuation_in_quotation_currency_(A),24_Market_valuation_in_portfolio_currency_(B),25_Clean_market_valuation_in_portfolio_currency_(B),26_Valuation_weight,27_Market_exposure_amount_in_quotation_currency_(A),28_Market_exposure_amount_in_portfolio_currency_(B),29_Market_exposure_amount_for_the_3rd_quotation_currency_(C),30_Market_exposure_in_weight,31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV,32_Interest_rate_type,33_Coupon_rate,34_Interest_rate_reference_identification,35_Identification_type_for_interest_rate_index,36_Interest_rate_index_name,37_Interest_rate_margin,38_Coupon_payment_frequency,39_Maturity_date,40_Redemption_type,41_Redemption_rate,42_Callable_putable,43_Call_put_date,44_Issuer_bearer_option_exercise,45_Strike_price_for_embedded_(call_put)_options,46_Issuer_name,47_Issuer_identification_code,48_Type_of_identification_code_for_issuer,49_Name_of_the_group_of_the_issuer,50_Identification_of_the_group,51_Type_of_identification_code_for_issuer_group,52_Issuer_country,53_Issuer_economic_area,54_Economic_sector,55_Covered_not_covered,56_Securitisation,57_Explicit_guarantee_by_the_country_of_issue,58_Subordinated_debt,58b_Nature_of_the_tranche,59_Credit_quality_step,60_Call_Put_Cap_Floor,61_Strike_price,62_Conversion_factor_(convertibles)_concordance_factor_parity_(options),63_Effective_date_of_instrument,64_Exercise_type,65_Hedging_rolling,67_CIC_of_the_underlying_asset,68_Identification_code_of_the_underlying_asset,69_Type_of_identification_code_for_the_underlying_asset,70_Name_of_the_underlying_asset,71_Quotation_currency_of_the_underlying_asset_(C),72_Last_valuation_price_of_the_underlying_asset,73_Country_of_quotation_of_the_underlying_asset,74_Economic_area_of_quotation_of_the_underlying_asset,75_Coupon_rate_of_the_underlying_asset,76_Coupon_payment_frequency_of_the_underlying_asset,77_Maturity_date_of_the_underlying_asset,78_Redemption_profile_of_the_underlying_asset,79_Redemption_rate_of_the_underlying_asset,80_Issuer_name_of_the_underlying_asset,81_Issuer_identification_code_of_the_underlying_asset,82_Type_of_issuer_identification_code_of_the_underlying_asset,83_Name_of_the_group_of_the_issuer_of_the_underlying_asset,84_Identification_of_the_group_of_the_underlying_asset,85_Type_of_the_group_identification_code_of_the_underlying_asset,86_Issuer_country_of_the_underlying_asset,87_Issuer_economic_area_of_the_underlying_asset,88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset,89_Credit_quality_step_of_the_underlying_asset,90_Modified_duration_to_maturity_date,91_Modified_duration_to_next_option_exercise_date,92_Credit_sensitivity,93_Sensitivity_to_underlying_asset_price_(delta),94_Convexity_gamma_for_derivatives,94b_Vega,95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund,97_SCR_mrkt_IR_up_weight_over_NAV,98_SCR_mrkt_IR_down_weight_over_NAV,99_SCR_mrkt_eq_type1_weight_over_NAV,100_SCR_mrkt_eq_type2_weight_over_NAV,101_SCR_mrkt_prop_weight_over_NAV,102_SCR_mrkt_spread_bonds_weight_over_NAV,103_SCR_mrkt_spread_structured_weight_over_NAV,104_SCR_mrkt_spread_derivatives_up_weight_over_NAV,105_SCR_mrkt_spread_derivatives_down_weight_over_NAV,105a_SCR_mrkt_FX_up_weight_over_NAV,105b_SCR_mrkt_FX_down_weight_over_NAV,106_Asset_pledged_as_collateral,107_Place_of_deposit,108_Participation,110_Valorisation_method,111_Value_of_acquisition,112_Credit_rating,113_Rating_agency,114_Issuer_economic_area,115_Fund_issuer_code,116_Fund_issuer_code_type,117_Fund_issuer_name,118_Fund_issuer_sector,119_Fund_issuer_group_code,120_Fund_issuer_group_code_type,121_Fund_issuer_group_name,122_Fund_issuer_country,123_Fund_CIC,123a_Fund_custodian_country,124_Duration,125_Accrued_income_(Security Denominated Currency),126_Accrued_income_(Portfolio Denominated Currency),127_Bond_floor_(convertible_instrument_only),128_Option_premium_(convertible_instrument_only),129_Valuation_yield,130_Valuation_z_spread,131_Underlying_asset_category,132_Infrastructure_investment,133_custodian_name,134_type1_private_equity_portfolio_eligibility,135_type1_private_equity_issuer_beta,137_Counterparty_sector,138_Collateral_eligibility,139_Collateral_Market_valuation_in_portfolio_currency,140_Custodian_identification_code,141_Type_of_custodian_identification_code,142_Bail-in_Rule,143_Maturity_date_expected,144_Modified_duration_to_maturity_date_expected,145_Credit_sensitivity_expected,146_PIK,147_Infrastructure_investment_additional_QRT,148_Economic_sector_NACE2.1,1000_TPT_Version
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT7","","ID_66192001","99","","RT Vorsorgeinvest Aktienfonds Gi","","","1397644.04","","EUR","1397644.04","1397644.04","1398690.58","1398690.58","0.012934","1398690.58","1398690.58","","0.012934","","","","","","","","","","","","","","","","","","","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","7","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT000000ETS9","1","","EUROTELESITES AG INH.","","18500.00","","","EUR","83620.00","83620.00","83620.00","83620.00","0.000773","83620.00","83620.00","","0.000773","","","","","","","","","","","","","","","","EuroTeleSites AG","5299007TJV9W1OY91Y28","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT000000STR1","1","","STRABAG SE","","4250.00","","","EUR","386750.00","386750.00","386750.00","386750.00","0.003576","386750.00","386750.00","","0.003576","","","","","","","","","","","","","","","","Strabag SE","529900TYYSRJH2VJSP60","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000606306","1","","RAIFFEISEN INTL BK-HO.INH","","51500.00","","","EUR","2496720.00","2496720.00","2496720.00","2496720.00","0.023088","2496720.00","2496720.00","","0.023088","","","","","","","","","","","","","","","","Raiffeisen Bank International AG","9ZHRYM6F437SQJ6OUG95","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000641352","1","","CA IMMOB.ANL.","","19000.00","","","EUR","422750.00","422750.00","422750.00","422750.00","0.003909","422750.00","422750.00","","0.003909","","","","","","","","","","","","","","","","CA Immobilien Anlagen AG","5299003ICAPV07J0R180","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000644505","1","","LENZING AG","","2905.00","","","EUR","64926.75","64926.75","64926.75","64926.75","0.000600","64926.75","64926.75","","0.000600","","","","","","","","","","","","","","","","Lenzing AG","529900BKFJBI0QRDJH63","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000652011","1","","ERSTE GROUP BNK INH. O.N.","","51800.00","","","EUR","5226620.00","5226620.00","5226620.00","5226620.00","0.048332","5226620.00","5226620.00","","0.048332","","","","","","","","","","","","","","","","Erste Group Bank AG","PQOH26KWDF7CG10L6792","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000720008","1","","TELEKOM AUSTRIA AG","","74000.00","","","EUR","725200.00","725200.00","725200.00","725200.00","0.006706","725200.00","725200.00","","0.006706","","","","","","","","","","","","","","","","Telekom Austria AG","529900KCNFQU5OJH7L33","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000730007","1","","ANDRITZ AG","","29400.00","","","EUR","2257920.00","2257920.00","2257920.00","2257920.00","0.020879","2257920.00","2257920.00","","0.020879","","","","","","","","","","","","","","","","Andritz AG","549300VZKC61IR5U8G96","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000741053","1","","EVN AG","","25750.00","","","EUR","733875.00","733875.00","733875.00","733875.00","0.006786","733875.00","733875.00","","0.006786","","","","","","","","","","","","","","","","EVN AG","529900P4JZBFEVNEAE60","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
"AT0000A10ME1","1","RT Vorsorgeinvest Aktienfonds T","EUR","108140912.35","2026-06-10","2026-06-10","231.260000","467600.00","0.012934","","N","AT3","","AT0000743059","1","","OMV AG","","31800.00","","","EUR","1876200.00","1876200.00","1876200.00","1876200.00","0.017350","1876200.00","1876200.00","","0.017350","","","","","","","","","","","","","","","","OMV AG","549300V62YJ9HTLRI486","1","","","","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529900DTZIW0V5X6PW18","1","Erste Asset Management GmbH","","","","","AT","","AT","","","","","","","","3L","","","","","","","","","","","","","","","","","V7.0"
